"","GEOID","NAME","variable","Income_per_cap","moe"
"386","21757","ZCTA5 21757","B19301_001",44948,4610
"387","21758","ZCTA5 21758","B19301_001",51885,6618
"388","21762","ZCTA5 21762","B19301_001",30555,11299
"389","21766","ZCTA5 21766","B19301_001",29872,7502
"390","21767","ZCTA5 21767","B19301_001",29159,4813
"391","21769","ZCTA5 21769","B19301_001",61639,4388
"392","21770","ZCTA5 21770","B19301_001",63232,6687
"393","21771","ZCTA5 21771","B19301_001",57250,2834
"394","21773","ZCTA5 21773","B19301_001",57710,5504
"395","21774","ZCTA5 21774","B19301_001",58468,2944
"396","21776","ZCTA5 21776","B19301_001",50876,4939
"397","21777","ZCTA5 21777","B19301_001",54095,9326
"398","21778","ZCTA5 21778","B19301_001",52664,12107
"399","21779","ZCTA5 21779","B19301_001",38671,15588
"400","21780","ZCTA5 21780","B19301_001",35942,6233
"401","21781","ZCTA5 21781","B19301_001",4412,6578
"402","21782","ZCTA5 21782","B19301_001",47078,5892
"403","21783","ZCTA5 21783","B19301_001",44428,4847
"404","21784","ZCTA5 21784","B19301_001",57412,2069
"405","21787","ZCTA5 21787","B19301_001",39350,3280
"406","21788","ZCTA5 21788","B19301_001",50992,4758
"407","21790","ZCTA5 21790","B19301_001",NA,NA
"408","21791","ZCTA5 21791","B19301_001",43224,3881
"409","21793","ZCTA5 21793","B19301_001",54148,4140
"410","21794","ZCTA5 21794","B19301_001",87308,18574
"411","21795","ZCTA5 21795","B19301_001",41856,3806
"412","21797","ZCTA5 21797","B19301_001",71685,8671
"413","21798","ZCTA5 21798","B19301_001",47239,6082
"414","21801","ZCTA5 21801","B19301_001",38535,2956
"415","21804","ZCTA5 21804","B19301_001",33932,2432
"416","21810","ZCTA5 21810","B19301_001",59254,13987
"417","21811","ZCTA5 21811","B19301_001",51603,4030
"418","21813","ZCTA5 21813","B19301_001",56747,12959
"419","21814","ZCTA5 21814","B19301_001",21061,14609
"420","21817","ZCTA5 21817","B19301_001",32214,4048
"421","21821","ZCTA5 21821","B19301_001",30218,4978
"422","21822","ZCTA5 21822","B19301_001",30791,9349
"423","21824","ZCTA5 21824","B19301_001",38083,8354
"424","21826","ZCTA5 21826","B19301_001",28381,4683
"425","21829","ZCTA5 21829","B19301_001",66709,21374
"426","21830","ZCTA5 21830","B19301_001",47810,10044
"427","21835","ZCTA5 21835","B19301_001",31153,8663
"428","21837","ZCTA5 21837","B19301_001",33665,3759
"429","21838","ZCTA5 21838","B19301_001",39047,7977
"430","21840","ZCTA5 21840","B19301_001",58067,41950
"431","21841","ZCTA5 21841","B19301_001",44900,13317
"432","21842","ZCTA5 21842","B19301_001",72168,11300
"433","21849","ZCTA5 21849","B19301_001",43916,13849
"434","21850","ZCTA5 21850","B19301_001",40209,8029
"435","21851","ZCTA5 21851","B19301_001",33508,4097
"436","21853","ZCTA5 21853","B19301_001",26212,4841
"437","21856","ZCTA5 21856","B19301_001",33939,9482
"438","21861","ZCTA5 21861","B19301_001",38575,7366
"439","21862","ZCTA5 21862","B19301_001",NA,NA
"440","21863","ZCTA5 21863","B19301_001",33766,4109
"441","21864","ZCTA5 21864","B19301_001",37393,14798
"442","21865","ZCTA5 21865","B19301_001",42627,6699
"443","21866","ZCTA5 21866","B19301_001",41693,21040
"444","21867","ZCTA5 21867","B19301_001",NA,NA
"445","21869","ZCTA5 21869","B19301_001",31447,6055
"446","21871","ZCTA5 21871","B19301_001",33629,5530
"447","21872","ZCTA5 21872","B19301_001",40905,12380
"448","21874","ZCTA5 21874","B19301_001",29024,4358
"449","21875","ZCTA5 21875","B19301_001",40875,5810
"450","21890","ZCTA5 21890","B19301_001",3767,1666
"451","21901","ZCTA5 21901","B19301_001",49246,4247
"452","21902","ZCTA5 21902","B19301_001",23319,10343
"453","21903","ZCTA5 21903","B19301_001",36338,3771
"454","21904","ZCTA5 21904","B19301_001",39346,4768
"455","21911","ZCTA5 21911","B19301_001",39545,2759
"456","21912","ZCTA5 21912","B19301_001",66003,25348
"457","21913","ZCTA5 21913","B19301_001",40344,7990
"458","21914","ZCTA5 21914","B19301_001",36276,10070
"459","21915","ZCTA5 21915","B19301_001",60128,13359
"460","21917","ZCTA5 21917","B19301_001",48213,7243
"461","21918","ZCTA5 21918","B19301_001",40778,5296
"462","21919","ZCTA5 21919","B19301_001",46913,5991
"463","21920","ZCTA5 21920","B19301_001",33102,9301
"464","21921","ZCTA5 21921","B19301_001",40036,2700
"465","21930","ZCTA5 21930","B19301_001",38637,2187
