"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,10,"Frederick",715,"Centerville Elementary"," Mathematics All Grades","All Students","246","170",69.1,"<= 5.0","29.3","63.4","5.7",20241015,"-8608784.3658","4769756.1883","2260","Frederick                                         ","10.071","3601 CARRIAGE HILL DRIVE","FREDERICK","MD","21704","K-5","Elementary","ZCTA5 21704","B19301_001",60724,4153
2023,15,"Montgomery",703,"Cedar Grove Elementary"," Mathematics All Grades","All Students","196","135",68.9,"5.1","26.0","56.1","12.8",20241015,"-8597460.2858","4757464.7019","2102","Montgomery                                        ","15.214","24001 RIDGE ROAD","GERMANTOWN","MD","20876","K-5","Elementary","ZCTA5 20876","B19301_001",45776,3407
2023,13,"Howard",107,"Ilchester Elementary"," Mathematics All Grades","All Students","265","182",68.7,"7.5","23.8","60.0","8.7",20241015,"-8546432.7471","4754832.2992","2511","Howard                                            ","13.057","4981 ILCHESTER RD","ELLICOTT CITY","MD","21043","PreK-5","Elementary","ZCTA5 21043","B19301_001",64911,2548
2023,15,"Montgomery",417,"Wood Acres Elementary"," Mathematics All Grades","All Students","307","211",68.7,"<= 5.0","27.7","57.7","11.1",20241015,"-8584798.7034","4717019.4084","2438","Montgomery                                        ","15.060","5800 CROMWELL DRIVE","BETHESDA","MD","20816","K-5","Elementary","ZCTA5 20816","B19301_001",116348,7903
2023,6,"Carroll",506,"Carrolltowne Elementary"," Mathematics All Grades","All Students","321","220",68.5,"<= 5.0","29.3","63.6","<= 5.0",20241015,"-8564222.7766","4778212.4276","2349","Carroll                                           ","06.014","6542 RIDGE RD","SYKESVILLE","MD","21784","PreK-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
2023,15,"Montgomery",704,"Woodfield Elementary"," Mathematics All Grades","All Students","136","93",68.4,"5.1","26.5","55.9","12.5",20241015,"-8593691.8414","4757916.0852","2500","Montgomery                                        ","15.143","24200 WOODFIELD ROAD","GAITHERSBURG","MD","20879","K-5","Elementary","ZCTA5 20879","B19301_001",45736,3705
2023,15,"Montgomery",226,"Beverly Farms Elementary"," Mathematics All Grades","All Students","319","218",68.3,"<= 5.0","28.2","55.5","12.9",20241015,"-8591227.7193","4729139.2316","2117","Montgomery                                        ","15.183","8501 POST OAK RD","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,15,"Montgomery",209,"Lakewood Elementary"," Mathematics All Grades","All Students","212","144",67.9,"6.6","25.5","49.1","18.9",20241015,"-8593154.3455","4734209.5773","2070","Montgomery                                        ","15.257","2534 LINDLEY TERRACE","ROCKVILLE","MD","20850","K-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
2023,13,"Howard",525,"Fulton Elementary"," Mathematics All Grades","All Students","419","284",67.8,"<= 5.0","28.4","54.2","13.6",20241015,"-8562242.1755","4743336.8021","1834","Howard                                            ","13.063","11600 SCAGGSVILLE ROAD","FULTON","MD","20759","K-5","Elementary","ZCTA5 20759","B19301_001",98294,13207
2023,2,"Anne Arundel",2202,"Severna Park Elementary"," Mathematics All Grades","All Students","199","134",67.3,"<= 5.0","30.2","61.3","6.0",20241015,"-8521336.4163","4732038.3323","2560","Anne Arundel                                      ","02.052","6 RIGGS AVENUE","SEVERNA PARK","MD","21146","K-5","Elementary","ZCTA5 21146","B19301_001",72385,4054
2023,3,"Baltimore County",1002,"Jacksonville Elementary"," Mathematics All Grades","All Students","254","171",67.3,"<= 5.0","31.5","61.4","5.9",20241015,"-8522584.8464","4795327.5823","1477","Baltimore County                                  ","03.074","3400 HILLENDALE HEIGHTS ROAD","PHOENIX","MD","21131","K-5","Elementary","ZCTA5 21131","B19301_001",80073,10062
2023,6,"Carroll",503,"Linton Springs Elementary"," Mathematics All Grades","All Students","346","233",67.3,"<= 5.0","28.3","61.8","5.5",20241015,"-8570167.8086","4782475.4399","2398","Carroll                                           ","06.045","375 RONSDALE RD","SYKESVILLE","MD","21784","PreK-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
2023,13,"Howard",305,"Manor Woods Elementary"," Mathematics All Grades","All Students","372","248",66.7,"<= 5.0","28.5","55.6","11.0",20241015,"-8562005.0822","4763306.2441","1837","Howard                                            ","13.052","11575 FREDERICK ROAD","ELLICOTT CITY","MD","21042","K-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,10,"Frederick",702,"Urbana Elementary"," Mathematics All Grades","All Students","336","223",66.4,"<= 5.0","29.8","56.5","9.8",20241015,"-8611280.0653","4768600.1385","1773","Frederick                                         ","10.022","3554 URBANA PIKE","FREDERICK","MD","21704","PreK-5","Elementary","ZCTA5 21704","B19301_001",60724,4153
2023,15,"Montgomery",419,"Burning Tree Elementary"," Mathematics All Grades","All Students","233","154",66.1,"15.9","18.0","50.2","15.9",20241015,"-8587536.8671","4720240.1732","1371","Montgomery                                        ","15.207","7900 BEECH TREE ROAD","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,12,"Harford",314,"Bel Air Elementary"," Mathematics All Grades","All Students","243","160",65.8,"<= 5.0","30.5","56.4","9.5",20241015,"-8499275.0959","4799159.7583","1882","Harford                                           ","12.024","30 E LEE ST","BEL AIR","MD","21014","PreK-5","Elementary","ZCTA5 21014","B19301_001",50990,2291
2023,12,"Harford",314,"Bel Air Elementary"," Mathematics All Grades","All Students","243","160",65.8,"<= 5.0","30.5","56.4","9.5",20241015,"-8777759.6406","4804721.1337","2346","Allegany                                          ","01.003","14401 BARTON BOULEVARD","CUMBERLAND","MD","21502","PreK-5","Elementary","ZCTA5 21502","B19301_001",30485,1296
2023,13,"Howard",304,"Mount View Middle"," Mathematics All Grades","All Students","891","585",65.7,"<= 5.0","30.8","56.7","9.0",20241015,"-8564571.4251","4767751.0537","2512","Howard                                            ","13.049","12101 WOODFORD DRIVE","MARRIOTTSVILLE","MD","21104","6-8","Middle","ZCTA5 21104","B19301_001",74924,6853
2023,13,"Howard",210,"Centennial Lane Elementary"," Mathematics All Grades","All Students","355","233",65.6,"<= 5.0","29.6","56.3","9.3",20241015,"-8556192.3175","4759880.1178","1812","Howard                                            ","13.005","3825 CENTENNIAL LANE","ELLICOTT CITY","MD","21042","K-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",219,"Farmland Elementary"," Mathematics All Grades","All Students","381","250",65.6,"<= 5.0","31.0","55.1","10.5",20241015,"-8587769.3982","4728436.6748","2273","Montgomery                                        ","15.242","7000 OLD GATE RD","ROCKVILLE","MD","20853","K-5","Elementary","ZCTA5 20853","B19301_001",55810,3198
2023,2,"Anne Arundel",4122,"Davidsonville Elementary"," Mathematics All Grades","All Students","316","207",65.5,"<= 5.0","31.6","62.0","<= 5.0",20241015,"-8531340.3238","4710065.6092","2442","Anne Arundel                                      ","02.098","962 CENTRAL AVENUE WEST","DAVIDSONVILLE","MD","21035","K-5","Elementary","ZCTA5 21035","B19301_001",77429,8488
2023,15,"Montgomery",523,"Spark M. Matsunaga Elementary"," Mathematics All Grades","All Students","293","191",65.2,"8.2","26.6","51.2","14.0",20241015,"-8604191.1391","4743264.3375","2365","Montgomery                                        ","15.254","13902 BROMFIELD ROAD","GERMANTOWN","MD","20874","K-5","Elementary","ZCTA5 20874","B19301_001",50989,2761
2023,13,"Howard",302,"West Friendship Elementary"," Mathematics All Grades","All Students","189","123",65.1,"<= 5.0","32.8","57.7","7.4",20241015,"-8565580.9098","4764984.3437","1853","Howard                                            ","13.032","12500 FREDERICK ROAD","WEST FRIENDSHIP","MD","21794","K-5","Elementary","ZCTA5 21794","B19301_001",87308,18574
2023,13,"Howard",505,"Clarksville Elementary"," Mathematics All Grades","All Students","309","201",65,"10.4","24.6","45.6","19.4",20241015,"-8563678.1829","4753077.237","1848","Howard                                            ","13.037","12041 ROUTE 108","CLARKSVILLE","MD","21029","K-5","Elementary","ZCTA5 21029","B19301_001",90259,5999
