"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"42","Bay View Elementary","English",38.1233606557377,2023,7,"Cecil",510," English Language Arts All Grades","All Students","180","64",35.6,"16.1","48.3","33.3","<= 5.0",20241015,-2.5233606557377,"-8455486.4228","4813547.7814","1644","Cecil                                             ","07.036","910 NORTH EAST RD","NORTH EAST","MD","21901","PreK-5","Elementary","ZCTA5 21901","B19301_001",49246,4247
"43","Bayard Rustin Elementary","English",51.0455696202532,2023,15,"Montgomery",346," English Language Arts All Grades","All Students","362","204",56.4,"7.5","36.2","50.0","6.4",20241015,5.35443037974683,"-8587605.1322","4731713.9607","2484","Montgomery                                        ","15.014","332 W EDMONSTON DR","ROCKVILLE","MD","20851","","Elementary","ZCTA5 20851","B19301_001",47505,4272
"44","Beach Elementary","English",59.7044776119403,2023,4,"Calvert",302," English Language Arts All Grades","All Students","245","159",64.9,"<= 5.0","32.2","60.8","<= 5.0",20241015,5.19552238805971,"-8520093.0918","4676440.6965","1710","Calvert                                           ","04.011","7900 OLD BAYSIDE RD","CHESAPEAKE BEACH","MD","20732","PreK-5","Elementary","ZCTA5 20732","B19301_001",57462,4072
"45","Beacon Heights Elementary","English",19.3159090909091,2023,16,"Prince George's",1907," English Language Arts All Grades","All Students","221","93",42.1,"10.9","47.1","38.0","<= 5.0",20241015,22.7840909090909,"-8560263.0808","4715607.2447","1949","Prince George's                                   ","16.189","6929 FURMAN PARKWAY","RIVERDALE","MD","20737","PreK-6","Elementary","ZCTA5 20737","B19301_001",35260,7414
"46","Beall Elementary","English",53.7473347547974,2023,15,"Montgomery",207," English Language Arts All Grades","All Students","235","164",69.8,"<= 5.0","27.2","57.4","12.3",20241015,16.0526652452026,"-8589601.7073","4734249.3362","2104","Montgomery                                        ","15.205","451 BEALL AVENUE","ROCKVILLE","MD","20850","HS-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
"47","Beall Elementary","English",53.7473347547974,2023,15,"Montgomery",207," English Language Arts All Grades","All Students","235","164",69.8,"<= 5.0","27.2","57.4","12.3",20241015,16.0526652452026,"-8786661.4432","4815828.2293","2345","Allegany                                          ","01.002","3 EAST COLLEGE AVENUE","FROSTBURG","MD","21532","PreK-5","Elementary","ZCTA5 21532","B19301_001",31281,2724
"48","Beall Elementary","English",53.7473347547974,2023,1,"Allegany",2801," English Language Arts All Grades","All Students","193","95",49.2,"<= 5.0","46.6","43.5","5.7",20241015,-4.54733475479744,"-8589601.7073","4734249.3362","2104","Montgomery                                        ","15.205","451 BEALL AVENUE","ROCKVILLE","MD","20850","HS-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
"49","Beall Elementary","English",53.7473347547974,2023,1,"Allegany",2801," English Language Arts All Grades","All Students","193","95",49.2,"<= 5.0","46.6","43.5","5.7",20241015,-4.54733475479744,"-8786661.4432","4815828.2293","2345","Allegany                                          ","01.002","3 EAST COLLEGE AVENUE","FROSTBURG","MD","21532","PreK-5","Elementary","ZCTA5 21532","B19301_001",31281,2724
"50","Bear Creek Elementary","English",25.6660869565217,2023,3,"Baltimore County",1206," English Language Arts All Grades","All Students","188","46",24.5,"13.8","61.7","22.9","<= 5.0",20241015,-1.16608695652174,"-8513992.4999","4760193.639","1569","Baltimore County                                  ","03.153","1601 MELBOURNE ROAD","BALTIMORE","MD","21222","PreK-5","Elementary","ZCTA5 21222","B19301_001",30695,2017
"51","Bedford Elementary","English",34.8278606965174,2023,3,"Baltimore County",303," English Language Arts All Grades","All Students","197","82",41.6,"7.6","50.8","37.6","<= 5.0",20241015,6.77213930348259,"-8541573.066","4773423.538","2713","Baltimore County                                  ","03.089","7407 DORMAN DRIVE","BALTIMORE","MD","21208","1-5","Elementary","ZCTA5 21208","B19301_001",52450,3552
"52","Bel Air Elementary","English",64.2357954545455,2023,12,"Harford",314," English Language Arts All Grades","All Students","244","180",73.8,"<= 5.0","23.4","57.4","16.4",20241015,9.56420454545454,"-8499275.0959","4799159.7583","1882","Harford                                           ","12.024","30 E LEE ST","BEL AIR","MD","21014","PreK-5","Elementary","ZCTA5 21014","B19301_001",50990,2291
"53","Bel Air Elementary","English",64.2357954545455,2023,12,"Harford",314," English Language Arts All Grades","All Students","244","180",73.8,"<= 5.0","23.4","57.4","16.4",20241015,9.56420454545454,"-8777759.6406","4804721.1337","2346","Allegany                                          ","01.003","14401 BARTON BOULEVARD","CUMBERLAND","MD","21502","PreK-5","Elementary","ZCTA5 21502","B19301_001",30485,1296
"54","Bel Air Elementary","English",64.2357954545455,2023,1,"Allegany",702," English Language Arts All Grades","All Students","91","51",56,"7.7","36.3","54.9","<= 5.0",20241015,-8.23579545454545,"-8499275.0959","4799159.7583","1882","Harford                                           ","12.024","30 E LEE ST","BEL AIR","MD","21014","PreK-5","Elementary","ZCTA5 21014","B19301_001",50990,2291
"55","Bel Air Elementary","English",64.2357954545455,2023,1,"Allegany",702," English Language Arts All Grades","All Students","91","51",56,"7.7","36.3","54.9","<= 5.0",20241015,-8.23579545454545,"-8777759.6406","4804721.1337","2346","Allegany                                          ","01.003","14401 BARTON BOULEVARD","CUMBERLAND","MD","21502","PreK-5","Elementary","ZCTA5 21502","B19301_001",30485,1296
