"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"241","Easton High","Math",14.2271604938272,2023,20,"Talbot",101," Mathematics All Grades","All Students","351","*",5,"45.3","52.1","<= 5.0","<= 5.0",20241015,-9.22716049382716,"-8467591.6512","4686756.4202","1448","Talbot                                            ","20.002","723 MECKLENBURG AVENUE","EASTON","MD","21601","9-12","High","ZCTA5 21601","B19301_001",51651,3726
"242","Easton Middle","Math",24.5941529235382,2023,20,"Talbot",106," Mathematics All Grades","All Students","730","97",13.3,"42.1","44.7","12.9","<= 5.0",20241015,-11.2941529235382,"-8468859.4435","4687783.7828","1450","Talbot                                            ","20.004","201 PEACHBLOSSUM ROAD","EASTON","MD","21601","6-8","Middle","ZCTA5 21601","B19301_001",51651,3726
"243","Eastport Elementary","Math",25.011,2023,2,"Anne Arundel",4142," Mathematics All Grades","All Students","117","14",12,"35.9","52.1","12.0","<= 5.0",20241015,-13.011,"-8514070.4156","4717373.9031","2576","Anne Arundel                                      ","02.035","420 FIFTH STREET","ANNAPOLIS","MD","21403","PreK-5","Elementary","ZCTA5 21403","B19301_001",76445,5820
"244","Ebb Valley Elementary","Math",57.7772563176895,2023,6,"Carroll",603," Mathematics All Grades","All Students","263","131",49.8,"6.1","44.1","47.9","<= 5.0",20241015,-7.97725631768953,"-8559181.6007","4819062.9278","2235","Carroll                                           ","06.055","3100 SWIPER ROAD","MANCHESTER","MD","21102","PreK-5","Elementary","ZCTA5 21102","B19301_001",51635,4126
"245","Edgemere Elementary","Math",40.07805907173,2023,3,"Baltimore County",1502," Mathematics All Grades","All Students","185","72",38.9,"10.8","50.3","38.4","<= 5.0",20241015,-1.17805907172996,"-8509902.4691","4756100.9783","1479","Baltimore County                                  ","03.056","7201 NORTH POINT ROAD","BALTIMORE","MD","21219","PreK-5","Elementary","ZCTA5 21219","B19301_001",61908,12421
"246","Edgewater Elementary","Math",46.9270758122744,2023,2,"Anne Arundel",4152," Mathematics All Grades","All Students","271","95",35.1,"12.5","52.4","31.7","<= 5.0",20241015,-11.8270758122744,"-8522295.9327","4712747.2469","2574","Anne Arundel                                      ","02.033","121 WASHINGTON ROAD","EDGEWATER","MD","21037","K-5","Elementary","ZCTA5 21037","B19301_001",67149,5236
"247","Edgewood Elementary","Math",31.5427184466019,2023,12,"Harford",115," Mathematics All Grades","All Students","142","25",17.6,"28.9","53.5","16.2","<= 5.0",20241015,-13.9427184466019,"-8493595.1787","4782527.6368","1858","Harford                                           ","12.054","2100 CEDAR DRIVE","EDGEWOOD","MD","21040","PreK-5","Elementary","ZCTA5 21040","B19301_001",37072,2353
"248","Edgewood Elementary","Math",31.5427184466019,2023,30,"Baltimore City",67," Mathematics All Grades","All Students","59","7",11.9,"45.8","42.4","11.9","<= 5.0",20241015,-19.6427184466019,"-8493595.1787","4782527.6368","1858","Harford                                           ","12.054","2100 CEDAR DRIVE","EDGEWOOD","MD","21040","PreK-5","Elementary","ZCTA5 21040","B19301_001",37072,2353
"249","Edgewood High","Math",19.2,2023,12,"Harford",176," Mathematics All Grades","All Students","725","40",5.5,"45.4","49.1","5.5","<= 5.0",20241015,-13.7,"-8492125.9842","4782335.9743","1894","Harford                                           ","12.009","2415 WILLOUGHBY BEACH RD.","EDGEWOOD","MD","21040","9-12","High","ZCTA5 21040","B19301_001",37072,2353
"250","Edgewood Middle","Math",20.1548571428571,2023,12,"Harford",177," Mathematics All Grades","All Students","991","*",5,"58.0","39.3","<= 5.0","<= 5.0",20241015,-15.1548571428571,"-8492412.6392","4782346.9737","1717","Harford                                           ","12.014","2311 WLGHBY BCH RD","EDGEWOOD","MD","21040","6-8","Middle","ZCTA5 21040","B19301_001",37072,2353
"251","Edmondson Heights Elementary","Math",11.3458823529412,2023,3,"Baltimore County",104," Mathematics All Grades","All Students","249","31",12.4,"40.6","47.0","12.0","<= 5.0",20241015,1.05411764705882,"-8540340.9216","4764581.8808","2702","Baltimore County                                  ","03.101","1600 LANGFORD ROAD","BALTIMORE","MD","21207","PreK-5","Elementary","ZCTA5 21207","B19301_001",35043,1956
