"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,10,"Frederick",716,"Urbana Middle"," English Language Arts All Grades","All Students","1136","910",80.1,"<= 5.0","18.1","62.9","17.3",20241015,"-8609059.0804","4768963.3008","2287","Frederick                                         ","10.076","3511 PONTIUS COURT","IJAMSVILLE","MD","21754","6-8","Middle","ZCTA5 21754","B19301_001",72806,7577
2023,13,"Howard",307,"Folly Quarter Middle"," English Language Arts All Grades","All Students","676","540",79.9,"<= 5.0","19.4","69.7","10.2",20241015,"-8569796.275","4759878.0435","1827","Howard                                            ","13.081","13500 TRIDELPHIA ROAD","ELLICOTT CITY","MD","21042","6-8","Middle","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",159,"Rachel Carson Elementary"," English Language Arts All Grades","All Students","348","278",79.9,"<= 5.0","17.8","65.8","14.1",20241015,"-8599090.7223","4738438.2834","2134","Montgomery                                        ","15.163","100 TSCHIFFELY SQUARE ROAD","GAITHERSBURG","MD","20878","PreK-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,15,"Montgomery",601,"Potomac Elementary"," English Language Arts All Grades","All Students","234","187",79.9,"<= 5.0","19.7","67.9","12.0",20241015,"-8595338.9314","4724780.4127","2486","Montgomery                                        ","15.110","10311 RIVER ROAD","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,15,"Montgomery",513,"Belmont Elementary"," English Language Arts All Grades","All Students","168","134",79.8,"<= 5.0","19.0","61.9","17.9",20241015,"-8579015.664","4747281.6198","2219","Montgomery                                        ","15.021","19528 OLNEY MILL RD","OLNEY","MD","20832","K-5","Elementary","ZCTA5 20832","B19301_001",67017,5032
2023,15,"Montgomery",513,"Belmont Elementary"," English Language Arts All Grades","All Students","168","134",79.8,"<= 5.0","19.0","61.9","17.9",20241015,"-8534974.5442","4765227.8265","2332","Baltimore City                                    ","30.214","1406 NORTH ELLAMONT ST","BALTIMORE","MD","21216","PreK-5","Elementary","ZCTA5 21216","B19301_001",26585,2268
2023,18,"Saint Mary's",306,"Leonardtown High"," English Language Arts All Grades","All Students","554","442",79.8,"<= 5.0","19.1","60.3","19.5",20241015,"-8528340.4013","4617626.568","1898","St. Mary's                                        ","18.004","23995 POINT LOOKOUT ROAD","LEONARDTOWN","MD","20650","9-12","High","ZCTA5 20650","B19301_001",54721,4307
2023,2,"Anne Arundel",4293,"South River High"," English Language Arts All Grades","All Students","426","339",79.6,"<= 5.0","18.1","66.0","13.6",20241015,"-8522612.7169","4710481.0996","2447","Anne Arundel                                      ","02.099","201 CENTRAL AVENUE EAST","EDGEWATER","MD","21037","9-12","High","ZCTA5 21037","B19301_001",67149,5236
2023,6,"Carroll",508,"Oklahoma Road Middle"," English Language Arts All Grades","All Students","742","591",79.6,"<= 5.0","19.1","68.1","11.6",20241015,"-8563939.5241","4779334.6096","1669","Carroll                                           ","06.043","6300 OKLAHOMA ROAD","SYKESVILLE","MD","21784","6-8","Middle","ZCTA5 21784","B19301_001",57412,2069
2023,10,"Frederick",2503,"Brunswick High"," English Language Arts All Grades","All Students","245","195",79.6,"<= 5.0","18.8","61.6","18.0",20241015,"-8639270.3728","4767154.7058","1762","Frederick                                         ","10.036","101 CUMMINGS DRIVE","BRUNSWICK","MD","21716","9-12","High","ZCTA5 21716","B19301_001",51221,4534
2023,15,"Montgomery",226,"Beverly Farms Elementary"," English Language Arts All Grades","All Students","318","253",79.6,"<= 5.0","18.9","65.7","13.8",20241015,"-8591227.7193","4729139.2316","2117","Montgomery                                        ","15.183","8501 POST OAK RD","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,3,"Baltimore County",772,"Hereford High"," English Language Arts All Grades","All Students","328","260",79.3,"<= 5.0","20.4","67.4","11.9",20241015,"-8533639.7315","4807899.2536","2707","Baltimore County                                  ","03.094","17301 YORK ROAD","PARKTON","MD","21120","9-12","High","ZCTA5 21120","B19301_001",73297,8957
2023,13,"Howard",214,"Centennial High"," English Language Arts All Grades","All Students","312","247",79.2,"<= 5.0","20.2","67.6","11.5",20241015,"-8556982.2663","4757947.8058","1847","Howard                                            ","13.036","4300 CENTENNIAL LANE","ELLICOTT CITY","MD","21042","9-12","High","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",570,"Diamond Elementary"," English Language Arts All Grades","All Students","349","276",79.1,"<= 5.0","19.2","65.3","13.8",20241015,"-8598207.1955","4741134.0352","2175","Montgomery                                        ","15.104","4 MARQUIS DRIVE","GAITHERSBURG","MD","20878","K-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,2,"Anne Arundel",4272,"West Annapolis Elementary"," English Language Arts All Grades","All Students","105","83",79,"<= 5.0","16.2","56.2","22.9",20241015,"-8516315.1376","4720430.8479","2577","Anne Arundel                                      ","02.036","505 MELVIN AVENUE","ANNAPOLIS","MD","21401","K-5","Elementary","ZCTA5 21401","B19301_001",78167,6474
