"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"201","Crofton Middle","Math",23.1662622124173,2023,2,"Anne Arundel",3263," Mathematics All Grades","All Students","1359","524",38.6,"16.0","45.5","35.1","<= 5.0",20241015,15.4337377875827,"-8534896.6037","4721268.6723","2380","Anne Arundel                                      ","02.038","2301 DAVIDSONVILLE ROAD","GAMBRILLS","MD","21054","6-8","Middle","ZCTA5 21054","B19301_001",62213,5739
"202","Crofton Woods Elementary","Math",34.5067385444744,2023,2,"Anne Arundel",3082," Mathematics All Grades","All Students","377","197",52.3,"7.7","40.1","49.6","<= 5.0",20241015,17.7932614555256,"-8537533.2628","4721331.8704","2618","Anne Arundel                                      ","02.115","1750 URBY DRIVE","CROFTON","MD","21114","K-5","Elementary","ZCTA5 21114","B19301_001",60928,4149
"203","Damascus Elementary","Math",21.7577405857741,2023,15,"Montgomery",702," Mathematics All Grades","All Students","183","85",46.4,"7.1","46.4","41.5","<= 5.0",20241015,24.6422594142259,"-8595084.6326","4762657.4832","2174","Montgomery                                        ","15.103","10201 BETHESDA CHURCH ROAD","DAMASCUS","MD","20872","K-5","Elementary","ZCTA5 20872","B19301_001",56640,4314
"204","Darlington Elementary","Math",13.6087378640777,2023,12,"Harford",518," Mathematics All Grades","All Students","42","13",31,"11.9","57.1","31.0","<= 5.0",20241015,17.3912621359223,"-8482643.2028","4813336.0797","1866","Harford                                           ","12.056","2119 SHURESVILLE RD","DARLINGTON","MD","21034","K-5","Elementary","ZCTA5 21034","B19301_001",43113,6709
"205","Darnestown Elementary","Math",34.0781763826607,2023,15,"Montgomery",351," Mathematics All Grades","All Students","166","89",53.6,"14.5","31.9","45.8","7.8",20241015,19.5218236173393,"-8603315.0082","4736344.3245","2435","Montgomery                                        ","15.051","15030 TURKEY FOOT ROAD","GAITHERSBURG","MD","20878","K-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
"206","Davidsonville Elementary","Math",38.048322147651,2023,2,"Anne Arundel",4122," Mathematics All Grades","All Students","316","207",65.5,"<= 5.0","31.6","62.0","<= 5.0",20241015,27.451677852349,"-8531340.3238","4710065.6092","2442","Anne Arundel                                      ","02.098","962 CENTRAL AVENUE WEST","DAVIDSONVILLE","MD","21035","K-5","Elementary","ZCTA5 21035","B19301_001",77429,8488
"207","Deale Elementary","Math",15.5769927536232,2023,2,"Anne Arundel",4132," Mathematics All Grades","All Students","89","35",39.3,"10.1","50.6","36.0","<= 5.0",20241015,23.7230072463768,"-8521658.2718","4690033.2146","2460","Anne Arundel                                      ","02.075","759 MASONS BEACH ROAD","DEALE","MD","20751","K-5","Elementary","ZCTA5 20751","B19301_001",61792,10738
"208","Deep Creek Elementary","Math",7.44395604395604,2023,3,"Baltimore County",1525," Mathematics All Grades","All Students","197","24",12.2,"46.7","41.1","11.7","<= 5.0",20241015,4.75604395604396,"-8510921.1523","4765913.542","1586","Baltimore County                                  ","03.129","1101 EAST HOMBERG AVENUE","BALTIMORE","MD","21221","K-5","Elementary","ZCTA5 21221","B19301_001",37385,1756
"209","Deep Creek Middle","Math",7.93928334439283,2023,3,"Baltimore County",1557," Mathematics All Grades","All Students","696","*",5,"68.1","29.7","<= 5.0","<= 5.0",20241015,-2.93928334439283,"-8510895.1989","4763781.0728","1613","Baltimore County                                  ","03.113","1000 SOUTH MARLYN AVENUE","BALTIMORE","MD","21221","6-8","Middle","ZCTA5 21221","B19301_001",37385,1756
"210","Deep Run Elementary","Math",17.1280802292264,2023,13,"Howard",103," Mathematics All Grades","All Students","354","118",33.3,"14.4","52.3","30.2","<= 5.0",20241015,16.1719197707736,"-8547851.6522","4748157.3741","1851","Howard                                            ","13.042","6925 OLD WATERLOO RD","ELKRIDGE","MD","21075","PreK-5","Elementary","ZCTA5 21075","B19301_001",53091,2563
