X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8560497.2664,4685757.8923,2311,Prince George's                                   ,16.187,Waldon Woods Elementary                                     ,10301 THRIFT ROAD,CLINTON,MD,20735,PreK-5,Elementary
-8561390.8312,4698955.757,2312,Prince George's                                   ,16.197,Andrew Jackson Academy,3500 REGENCY PARKWAY,FORESTVILLE,MD,20747,PreK-8,PreK-8
-8565768.3496,4697399.9792,2313,Prince George's                                   ,16.152,Benjamin Stoddert Middle,2501 OLSON STREET,TEMPLE HILLS,MD,20748,6-8,Middle
-8566221.0833,4688739.5883,2314,Prince George's                                   ,16.121,Isaac J. Gourdine Middle,8700 ALLENTOWN ROAD,FORT WASHINGTON,MD,20744,6-8,Middle
-8573173.1615,4687547.2569,2315,Prince George's                                   ,16.162,Oxon Hill Middle                                            ,9570 FORT FOOTE ROAD,FORT WASHINGTON,MD,20744,6-8,Middle
-8553933.773,4716017.0047,2316,Prince George's                                   ,16.229,Thomas Johnson Middle                                       ,5401 BARKER PLACE,LANHAM,MD,20706,6-8,Middle
-8558874.3579,4704069.6012,2317,Prince George's                                   ,16.196,Walker Mill Middle                                          ,800 KAREN BOULEVARD,CAPITOL HEIGHTS,MD,20743,6-8,Middle
-8565352.7928,4727752.4534,2318,Prince George's                                   ,16.085,High Point High                                             ,3601 POWDER MILL ROAD,BELTSVILLE,MD,20705,9-12,High
-8551540.1585,4705461.7133,2319,Prince George's                                   ,16.011,Largo High                                                  ,505 LARGO ROAD,UPPER MARLBORO,MD,20774,9-12,High
-8560626.984,4687709.0088,2320,Prince George's                                   ,16.103,Surrattsville High                                          ,6101 GARDEN DRIVE,CLINTON,MD,20735,9-12,High
-8528436.3128,4784673.5396,2321,Baltimore County                                  ,03.169,Timonium Elementary                                         ,2001 EASTRIDGE ROAD,TIMONIUM,MD,21093,K-5,Elementary
-8621887.1153,4787128.5989,2322,Frederick                                         ,10.054,Whittier Elementary                                         ,2400 WHITTIER DRIVE,FREDERICK,MD,21702,PreK-5,Elementary
